sample_id,load_time,p2p_edge_time,comment
EARTH_3300010285_24,0.6144709587097168,0.43657350540161133,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
5561241,0.7119631767272949,0.5589594841003418,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1928671,1.725574016571045,0.839252233505249,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7600941,0.5113992691040039,0.1875462532043457,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
217401,1.4535043239593506,1.0926916599273682,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
5215471,0.39411044120788574,0.20244479179382324,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1669891,0.7991294860839844,0.38273072242736816,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1412341,0.7056355476379395,0.397705078125,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
9133501,1.1721923351287842,0.6048212051391602,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
6043501,0.8580954074859619,0.4132370948791504,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
706171,0.9312591552734375,0.4566972255706787,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
6341141,1.2084736824035645,0.6530778408050537,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
913371,1.257197618484497,0.9545114040374756,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
2334491,1.8129141330718994,0.9291424751281738,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1725471,1.7476708889007568,1.0059449672698975,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
5271601,0.3189811706542969,0.14243435859680176,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7180041,1.3979971408843994,0.7232832908630371,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7156661,0.9972031116485596,0.4642009735107422,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
5281301,1.1419579982757568,0.5294690132141113,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
EARTH_3300005286_44,0.8824853897094727,0.6054661273956299,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
627021,1.6365888118743896,0.9337568283081055,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7746171,1.9501473903656006,0.9024264812469482,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
8546401,0.5878844261169434,0.2851395606994629,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
869151,1.2343175411224365,0.7415838241577148,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7267211,0.722114086151123,0.32337141036987305,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1246401,0.5460786819458008,0.28676390647888184,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7156341,0.7683746814727783,0.4398925304412842,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
8202761,0.37212562561035156,0.2548861503601074,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7802821,0.39200282096862793,0.22060513496398926,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
829371,0.2884330749511719,0.14762258529663086,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7327051,1.2420823574066162,0.6705038547515869,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
5530491,1.817728042602539,0.9193415641784668,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
2233781,0.49880337715148926,0.3555750846862793,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7313561,0.36084628105163574,0.08008956909179688,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1977371,0.9114642143249512,0.4577059745788574,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1754821,1.061248779296875,0.5845181941986084,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
6033181,0.70166015625,0.27936410903930664,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1252891,1.115065336227417,0.556149959564209,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
42191,0.9892318248748779,0.47486162185668945,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7328371,1.472583532333374,0.7907891273498535,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7529981,1.223783254623413,0.4562873840332031,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
8895031,0.5910463333129883,0.3327937126159668,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
407778,0.937558650970459,0.6738531589508057,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
EARTH_3300007531_26,0.6142792701721191,0.30831241607666016,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7744651,0.9159002304077148,0.36543703079223633,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
5333031,0.1603686809539795,0.05647993087768555,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1461011,2.5631964206695557,1.367664098739624,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7251461,1.2893166542053223,0.6649694442749023,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
3973981,1.6357777118682861,0.8074970245361328,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
8334371,0.7627131938934326,0.42162442207336426,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
2380641,0.2673628330230713,0.11737871170043945,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1239711,0.7276725769042969,0.3907642364501953,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7796701,1.1917355060577393,0.4656703472137451,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
6928301,1.1182739734649658,0.6603033542633057,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
5133681,0.26010918617248535,0.10799169540405273,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1775731,2.813528537750244,1.4871275424957275,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
9107701,1.071150302886963,0.7918469905853271,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
864781,1.3010025024414062,0.6482951641082764,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
5131751,1.2966291904449463,0.6852059364318848,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1742921,0.68843674659729,0.41212964057922363,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
8188521,0.8726847171783447,0.4154093265533447,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
4363121,1.2594118118286133,0.6505217552185059,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7713451,0.4583280086517334,0.26167941093444824,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1763451,0.7066280841827393,0.4915776252746582,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1967321,1.2464556694030762,0.9270424842834473,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7240161,1.2951486110687256,0.7892289161682129,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
GUT_GENOME180273,0.6597177982330322,0.3737614154815674,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
4726231,2.9563822746276855,1.6003499031066895,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
5272731,0.1567671298980713,0.04918551445007324,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1641661,1.809079885482788,0.9619631767272949,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
8916271,0.6871366500854492,0.38242125511169434,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1756381,1.28739333152771,0.5619180202484131,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
5313911,1.208270788192749,0.9156920909881592,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
44068,0.697077751159668,0.5016207695007324,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
GUT_GENOME214981,0.5184874534606934,0.13518047332763672,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
5208231,0.501234769821167,0.2349250316619873,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
EARTH_3300025214_5,0.3215763568878174,0.20951104164123535,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7982801,1.0562520027160645,0.48621392250061035,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1250191,0.6729462146759033,0.30144166946411133,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1426531,0.21785569190979004,0.07501769065856934,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
2004591,1.03950834274292,0.7851042747497559,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
5296971,0.4842813014984131,0.254347562789917,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
9186451,2.5498642921447754,1.5310723781585693,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
527218,1.6010682582855225,0.7952070236206055,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
3892091,0.46856069564819336,0.30545973777770996,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
6227811,0.8274950981140137,0.5012328624725342,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
9041181,0.6683595180511475,0.30626702308654785,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
