recid,hash,chash,start,end
DACPHF010000001.1,f2bb373136ad83089f60,565d369add045a356fe9,97705,98688
DACPHF010000001.1,4f7ad7c059cb828f2bc9,565d369add045a356fe9,98715,101102
DACPHF010000001.1,8e8e9dc702747c102257,565d369add045a356fe9,101541,101837
DACPHF010000001.1,720f2c9096addeb1f1f8,565d369add045a356fe9,101966,102745
DACPHF010000001.1,c444dc4da3d2489ed5fb,565d369add045a356fe9,102812,102916
DACPHF010000001.1,0ddc205ed86b0f2bed27,565d369add045a356fe9,103214,103870
DACPHF010000001.1,5eb44d75ae51fe4b7741,565d369add045a356fe9,103963,105138
DACPHF010000001.1,8aca2517d5d3550271c7,565d369add045a356fe9,105292,106167
DACPHF010000001.1,c4e88247986b2399aea7,565d369add045a356fe9,106326,107213
DACPHF010000001.1,43486c756ca764105424,565d369add045a356fe9,107383,108057
DACPHF010000001.1,af589e8796ac2069a591,565d369add045a356fe9,108048,108389
DACPHF010000001.1,236214a8fe1d7c459a8a,565d369add045a356fe9,108454,109878
DACPHF010000001.1,daca61355b77977d6465,565d369add045a356fe9,110024,111397
DACPHF010000001.1,a073dcd3414a4fb0bac9,565d369add045a356fe9,111743,112189
DACPHF010000001.1,dfc211b09e25fe82cc0f,565d369add045a356fe9,112800,113825
DACPHF010000001.1,e659a04c5e5a898ca051,565d369add045a356fe9,113825,114610
DACPHF010000001.1,44de40d0710a2e6d1aff,565d369add045a356fe9,114619,115158
DACPHF010000001.1,ae6213c74f5199bf038a,565d369add045a356fe9,115165,115767
DACPHF010000001.1,06577c040cb8b8a033e2,565d369add045a356fe9,116083,117111
DACPHF010000001.1,09a117dcd09c07e4a573,565d369add045a356fe9,117180,118187
DACPHF010000001.1,67d8089b922cddc39048,565d369add045a356fe9,118174,118929
DACPHF010000001.1,f5ef1842d66288373c27,565d369add045a356fe9,119314,119889
DACPHF010000001.1,341986ecba4e8f17b823,565d369add045a356fe9,120068,120418
DACPHF010000001.1,b4489e57f67509360c04,565d369add045a356fe9,120511,122121
DACPHF010000001.1,f5107421cee7288825e7,565d369add045a356fe9,122352,122864
DACPHF010000001.1,ac4262838dc0bafb4a6c,565d369add045a356fe9,123130,124029
DACPHF010000001.1,64d97966fb61120d157c,565d369add045a356fe9,124202,125440
DACPHF010000001.1,852a91948f0961a2367e,565d369add045a356fe9,125690,125944
DACPHF010000001.1,cc189cbff9d1b59965c0,565d369add045a356fe9,126142,126420
DACPHF010000001.1,6f9c97849409995c03b0,565d369add045a356fe9,126420,127565
DACPHF010000001.1,a748c6bd952eab1a498f,565d369add045a356fe9,127649,129934
DACPHF010000001.1,e9b2d8fee0887e9a8bb1,565d369add045a356fe9,130383,131120
DACPHF010000001.1,9a31396cbad5cc425b52,565d369add045a356fe9,131472,134156
