recid,hash,chash,start,end,is_crispr
uvig_295756,ab96438d20f580f4a923,32c5be53768dbaf2816d,35938,36405,0
uvig_295756,f606129617a950460a0b,32c5be53768dbaf2816d,36417,36614,0
uvig_295756,1eff9f5f8b473ca7dd17,32c5be53768dbaf2816d,36614,37954,0
uvig_295756,c29f0267984be9ed8b5b,32c5be53768dbaf2816d,37973,38404,0
uvig_295756,68887c42549df4bc0773,32c5be53768dbaf2816d,38488,38976,0
uvig_295756,08bf05edc246ee4b4bed,32c5be53768dbaf2816d,39158,42688,0
uvig_295756,c946bd50e84767d1cf06,32c5be53768dbaf2816d,42678,43337,0
uvig_295756,6868dfcc157427309ff7,32c5be53768dbaf2816d,43347,44570,0
uvig_295756,09d5fe31a53eb68087d8,32c5be53768dbaf2816d,44580,45098,0
uvig_295756,7925bb53c74faf99b5be,32c5be53768dbaf2816d,45095,45502,0
uvig_295756,7d037bae236d227b1c2e,32c5be53768dbaf2816d,45504,46583,0
uvig_295756,11e77bb697dc82909fff,32c5be53768dbaf2816d,46651,47319,0
uvig_295756,07950e3ad72c6d7279ce,32c5be53768dbaf2816d,47316,48446,0
uvig_295756,7ceef42ce8fff4b538a0,32c5be53768dbaf2816d,48467,49336,0
uvig_295756,573bcbbe42187ea342e2,32c5be53768dbaf2816d,49354,49800,0
uvig_295756,37a393c1ac48e836d8cd,32c5be53768dbaf2816d,49802,50188,0
uvig_295756,e3e0faaa1e4b63d5e6f7,32c5be53768dbaf2816d,50188,50817,0
uvig_295756,64d2208f9b4c99d4acc5,32c5be53768dbaf2816d,51157,52386,0
uvig_295756,3f9648632cc376f9c6ca,32c5be53768dbaf2816d,52407,53666,0
uvig_295756,82eaab0d76e3d13ee5c9,32c5be53768dbaf2816d,53677,54147,0
uvig_295756,1c150520a871f9f2cb3f,32c5be53768dbaf2816d,54159,54602,0
uvig_295756,207b0236bdd365deb725,32c5be53768dbaf2816d,54615,54812,0
uvig_295756,4a15badb41b96b7f4325,32c5be53768dbaf2816d,54793,55452,0
uvig_295756,ea743a82a25a95cb514c,32c5be53768dbaf2816d,55470,55826,0
uvig_295756,fab99efacf6514e4b1b6,32c5be53768dbaf2816d,55844,56098,0
uvig_295756,f854c3975e19e9f2a7f6,32c5be53768dbaf2816d,56675,57769,0
uvig_295756,6bc6af69dd44e81e17d2,32c5be53768dbaf2816d,58131,58340,0
uvig_295756,0f691c03a72c1979625f,32c5be53768dbaf2816d,58383,58697,0
uvig_295756,0c1aa02d021c475451f0,32c5be53768dbaf2816d,58728,58868,0
uvig_295756,f918288af6bcc8437c10,32c5be53768dbaf2816d,59006,59467,0
uvig_295756,32b37508a768570f53d3,32c5be53768dbaf2816d,59481,59687,0
uvig_295756,4d0e71dc826bf7f07241,32c5be53768dbaf2816d,59669,60091,0
uvig_295756,3b34a05532b7b6d938a3,32c5be53768dbaf2816d,60102,60494,0
uvig_295756,94119ac6024a67796e27,32c5be53768dbaf2816d,60494,60823,0
uvig_295756,2847fd651f5feb565f49,32c5be53768dbaf2816d,60823,61362,0
uvig_295756,1a5d55d4f50720563566,32c5be53768dbaf2816d,61368,61553,0
uvig_295756,3c30adb22a638642f809,32c5be53768dbaf2816d,61636,61800,0
