recid,hash,chash,start,end
GUT_GENOME138446_26,3d43a9e65fe0f43383f7,104f83560d349dedccf8,1253,2119
GUT_GENOME138446_26,1c3a9c8cea8cd636cf59,104f83560d349dedccf8,2188,2628
GUT_GENOME138446_26,57830fd17899153f047d,104f83560d349dedccf8,2621,3442
GUT_GENOME138446_26,7825cc8885fc49b38709,104f83560d349dedccf8,3459,4736
GUT_GENOME138446_26,b727df3ea9d4a12d7a53,104f83560d349dedccf8,4738,4968
GUT_GENOME138446_26,1c4559ddb207202acf4d,104f83560d349dedccf8,5061,5333
GUT_GENOME138446_26,fc75862bafdb7738a8ca,104f83560d349dedccf8,5720,7726
GUT_GENOME138446_26,111dd268bd674e483ba5,104f83560d349dedccf8,7839,8540
GUT_GENOME138446_26,6665ab2f3a7d8b3dad16,104f83560d349dedccf8,8603,9232
GUT_GENOME138446_26,95f74939bfb110f7e08c,104f83560d349dedccf8,9483,10262
GUT_GENOME138446_26,7e8d27456598be178334,104f83560d349dedccf8,10244,11125
GUT_GENOME138446_26,e8a567d6e01352b20a07,104f83560d349dedccf8,11190,11753
GUT_GENOME138446_26,935c779c3b4948d525c2,104f83560d349dedccf8,11797,13551
GUT_GENOME138446_26,6a0a930051c01d58aadb,104f83560d349dedccf8,13538,14179
GUT_GENOME138446_26,b9196da513ff93e3f1a6,104f83560d349dedccf8,14188,14523
GUT_GENOME138446_26,3de57ed073ee925032d6,104f83560d349dedccf8,14581,15321
GUT_GENOME138446_26,3b6613ad764c8c3c4321,104f83560d349dedccf8,15308,15715
GUT_GENOME138446_27,cadeb2ff5bd77305e071,6cf7d4d31d3eb9f22619,1,132
GUT_GENOME138446_27,0a5f5106ac69052da223,6cf7d4d31d3eb9f22619,185,904
GUT_GENOME138446_27,5bfdb58307da2d338aca,6cf7d4d31d3eb9f22619,897,1772
GUT_GENOME138446_27,f02e2f981db5ee207380,6cf7d4d31d3eb9f22619,1843,2412
GUT_GENOME138446_27,c9ae58ff8023cda59806,6cf7d4d31d3eb9f22619,2492,4675
GUT_GENOME138446_27,9448f0c91e5183e4cef9,6cf7d4d31d3eb9f22619,4749,4907
GUT_GENOME138446_27,83a1c08c08c092fdd7d7,6cf7d4d31d3eb9f22619,4972,5670
GUT_GENOME138446_27,a8281d08a6098b9b682c,6cf7d4d31d3eb9f22619,5727,5996
GUT_GENOME138446_27,14c35a661134aaa19fe5,6cf7d4d31d3eb9f22619,6100,7104
GUT_GENOME138446_27,9d5dac1ea2ea833e95b6,6cf7d4d31d3eb9f22619,7266,7790
GUT_GENOME138446_27,d1693e624d701a24d5f7,6cf7d4d31d3eb9f22619,7943,8941
GUT_GENOME138446_27,631a950163a0458cebfd,6cf7d4d31d3eb9f22619,9152,9427
GUT_GENOME138446_27,f1be1db5d94952f5c066,6cf7d4d31d3eb9f22619,9584,10192
GUT_GENOME138446_27,8ed99f60c9104f3e3485,6cf7d4d31d3eb9f22619,10276,11586
GUT_GENOME138446_27,c8931bc5b031bb19e3b5,6cf7d4d31d3eb9f22619,11587,12876
GUT_GENOME138446_27,3fe76f6e92928a03f416,6cf7d4d31d3eb9f22619,13058,13429
GUT_GENOME138446_27,256f9cf14f53f6686d29,6cf7d4d31d3eb9f22619,14029,15042
GUT_GENOME138446_28,539a46eceb53842007ad,74981d6982b1451a8aee,421,822
GUT_GENOME138446_28,50a9404cf13b24d8e0d1,74981d6982b1451a8aee,819,1325
GUT_GENOME138446_28,9e4c1d0ac611b2e5db8c,74981d6982b1451a8aee,1333,1701
