bait_id	protein_id	dist	info
d83a859ecd0b399940752923f6d199578376fa67116e7af43dd5f64c7cdf6ec9	803881ec79b20855b0666bc9e153fb5e3a84f21be43e99f8e6ae204d4d2b5ef0	6079	TIGR01587|Cas3_0_I;2.1e-15;CP049504.1:822605-823687
d83a859ecd0b399940752923f6d199578376fa67116e7af43dd5f64c7cdf6ec9	0ad0760471706b8e680680db895f8e4f95bbe0bc7507a0e652b72370b2afc93a	7092	TIGR01587|Cas3_0_I;2.1e-15;CP049504.1:822605-823687
d83a859ecd0b399940752923f6d199578376fa67116e7af43dd5f64c7cdf6ec9	61416c29954ef45ff623b82062a36e65b0327ba3c949fe92441d2eac7673c303	7739	TIGR01587|Cas3_0_I;2.1e-15;CP049504.1:822605-823687
d83a859ecd0b399940752923f6d199578376fa67116e7af43dd5f64c7cdf6ec9	45f87577c80c7472599cb60d074943f98bf985e65214207470fd23761e818c1a	8244	TIGR01587|Cas3_0_I;2.1e-15;CP049504.1:822605-823687
6ecda0c3a070013e23d04c0014e2ecc24c36eb9181e97bc88cca3c3b4676515b	e1b85a565056cff355206472e1652f675a04f379a24b9e547a486023820fdca9	-9471	TIGR01587|Cas3_0_I;1.5e-11;CP049504.1:1221935-1223995
6ecda0c3a070013e23d04c0014e2ecc24c36eb9181e97bc88cca3c3b4676515b	ad408e4c7586450c22538e801f9d4d69a67ce8d82a45ff3fe09ea4ef34c00deb	-8374	TIGR01587|Cas3_0_I;1.5e-11;CP049504.1:1221935-1223995
6ecda0c3a070013e23d04c0014e2ecc24c36eb9181e97bc88cca3c3b4676515b	7de5cd5103db12baefe5983f0f1e79722426d2870927295850416f8db0524fb9	-7624	TIGR01587|Cas3_0_I;1.5e-11;CP049504.1:1221935-1223995
6ecda0c3a070013e23d04c0014e2ecc24c36eb9181e97bc88cca3c3b4676515b	ade751bcb7498dfbeb218100e246766a83d1238416225fbe8423c77b56ac892d	-5633	TIGR01587|Cas3_0_I;1.5e-11;CP049504.1:1221935-1223995
6ecda0c3a070013e23d04c0014e2ecc24c36eb9181e97bc88cca3c3b4676515b	d2549bbf24bd011a420bc470d82ba2f0de038c9940e2971886bc39ef62424935	-4530	TIGR01587|Cas3_0_I;1.5e-11;CP049504.1:1221935-1223995
6ecda0c3a070013e23d04c0014e2ecc24c36eb9181e97bc88cca3c3b4676515b	82ce60d1fa38a251f598e7807bbf75e5c8552042b7621fce2a0f41b48bf4a787	-3885	TIGR01587|Cas3_0_I;1.5e-11;CP049504.1:1221935-1223995
6ecda0c3a070013e23d04c0014e2ecc24c36eb9181e97bc88cca3c3b4676515b	2622254a164d5bcb1e03afa572735c3b8aba4541d3df152738ccf1d46f46f2e7	-3237	TIGR01587|Cas3_0_I;1.5e-11;CP049504.1:1221935-1223995
6ecda0c3a070013e23d04c0014e2ecc24c36eb9181e97bc88cca3c3b4676515b	65f02a255babfcd74f9d4c0196d96f892628b8730dfb25be11e5388e5b35b8bb	-2668	TIGR01587|Cas3_0_I;1.5e-11;CP049504.1:1221935-1223995
6ecda0c3a070013e23d04c0014e2ecc24c36eb9181e97bc88cca3c3b4676515b	3e3f4d3d99ac43c6cba06e66110f6fbfdeb43b6c424cfcbc96c6ade95392c560	-1851	TIGR01587|Cas3_0_I;1.5e-11;CP049504.1:1221935-1223995
6ecda0c3a070013e23d04c0014e2ecc24c36eb9181e97bc88cca3c3b4676515b	e8295a0fdaf42abc6534f754190e429248aea7d222d10937555dfad8dc2668d5	-190	TIGR01587|Cas3_0_I;1.5e-11;CP049504.1:1221935-1223995
6ecda0c3a070013e23d04c0014e2ecc24c36eb9181e97bc88cca3c3b4676515b	7eb10b7579752059d7b1e040f0da2ab033db0548b67a3795427a1a7b1f63036d	218	TIGR01587|Cas3_0_I;1.5e-11;CP049504.1:1221935-1223995
